knowledge_date,series_id,reference_date,value,vintage_date,collected_at
2026-07-10,CZ_HICP_CORE_INDEX,2017-12-01,68.76,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-01-01,68.94,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-02-01,69.22,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-03-01,69.32,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-04-01,69.67,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-05-01,69.78,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-06-01,69.9,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-07-01,70.54,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-08-01,70.51,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-09-01,69.8,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-10-01,70.04,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-11-01,69.99,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2018-12-01,69.98,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2019-01-01,70.43,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2019-02-01,70.66,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2019-03-01,70.67,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2019-04-01,70.99,2026-07-01,2026-07-01T10:00:00+00:00
2026-07-10,CZ_HICP_CORE_INDEX,2019-05-01,71.03,2026-07-01,2026-07-01T10:00:00+00:00
